index,target,generated,content_f1,word_f1,bleu1,rouge1_f1,overlapping_content_words,bertscore_raw_f1
59,i wanted i asked to go on vacation to see,see going a go our nine days now,0.3636363636363636,0.22222222222222224,0.1947001963853836,0.2222222238779068,"go, see",0.8273782134056091
66,gonna see another day am i gonna see my family,one day i get my final moment anything of yet another,0.26666666666666666,0.380952380952381,0.3636363744735718,0.380952388048172,"another, day",0.8385276794433594
62,the street he turned left and instead of turning around,Instead at at time we had should he went back,0.2,0.20000000000000004,0.20000000298023224,0.20000000298023224,instead,0.8346575498580933
32,wear a short sleeve blouse or a long sleeve blouse,people were being gone to be my short a year,0.18181818181818182,0.20000000000000004,0.20000000298023224,0.20000000298023224,short,0.8067469000816345
14,embankment and then finally came to a last thud and,Sound to s sing and all the cop is starting finally,0.1818181818181818,0.28571428571428564,0.27272728085517883,0.2857142984867096,finally,0.8013169169425964
58,my new family on base even though it was dangerous,people who had executed my husband would be a dangerous visit,0.1818181818181818,0.1904761904761905,0.1818181872367859,0.190476194024086,dangerous,0.8455571532249451
0,years old i got really sick um and no one,week got out i occurred my brain grieving late,0.16666666666666666,0.2105263157894737,0.19885317981243134,0.21052631735801697,got,0.8440861105918884
71,stay i left baghdad early the next morning going back,so could had taken my bron dog at the next,0.16666666666666666,0.20000000000000004,0.20000000298023224,0.20000000298023224,next,0.8275485634803772
44,explosion sent people flying from their seats my friend jumped,flying with six hundred and a hundred and rushing,0.16666666666666666,0.10526315789473685,0.09942658990621567,0.10526315867900848,flying,0.8252547979354858
103,two instructors and several students review the work give us,Complete your sitting  now two you about bienember hundred,0.15384615384615383,0.10526315789473685,0.09942658990621567,0.10526315867900848,two,0.7983397841453552
98,committed relationship for the past eighteen years with his boyfriend,Instead at datey um we telling fifteen well as a boyfriend year,0.15384615384615383,0.0909090909090909,0.0833333358168602,0.1818181872367859,boyfriend,0.8316450715065002
107,consulting work and even though i'm getting paid a fire,working the material now we circuitd even more faster,0.14285714285714288,0.10526315789473685,0.09942658990621567,0.20000000298023224,even,0.8155476450920105
106,dear friend of mine says you know tricia i love,say mean well good you know uh your singer and obviously,0.14285714285714285,0.1904761904761905,0.1818181872367859,0.2857142984867096,know,0.7968547344207764
97,go back to my normal life and i'm highly suspicious,maybe we're gonna go bubbling hey now,0.14285714285714285,0.11764705882352941,0.09306272119283676,0.10526315867900848,go,0.8300682306289673
100,school as a part time student but i'm still consulting,retail writing application consulting we decided out in  ten minutes,0.14285714285714285,0.10000000000000002,0.10000000149011612,0.095238097012043,consulting,0.8250621557235718
60,dad one evening i took a two mile walk to,two or twenty days now i am away visiting across days,0.13333333333333333,0.1904761904761905,0.1818181872367859,0.190476194024086,two,0.831203281879425
1,with a hyper allergy something called stevens johnson syndrome and,never know out of my head it went part part of something faster,0.13333333333333333,0.08695652173913043,0.07692307978868484,0.08695652335882187,something,0.7869800925254822
77,working with companies like retail banking traffic reporting hazardous waste,everyone else like baby nauts get it exhaust,0.125,0.11111111111111112,0.0973500981926918,0.1111111119389534,like,0.8311668634414673
28,kind of semi lame at my side and you know,turn for go morning you going johnta and igan,0.0,0.2105263157894737,0.19885317981243134,0.21052631735801697,,0.8110590577125549
37,college loans and you know bought me an apartment paid,lost her thing at bad and it made me,0.0,0.2105263157894737,0.19885317981243134,0.21052631735801697,,0.843442440032959
104,piled high with artwork and at my review board one,say eh my god um you're asking and say,0.0,0.2105263157894737,0.19885317981243134,0.20000000298023224,,0.7964340448379517
82,class will focus on process the process of art making,took three exams entire to count the them of ozzing,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,,0.8362219333648682
102,moving fast enough i kept pushing him to move faster,Reservation to a friends i want from to going to go,0.0,0.1904761904761905,0.1818181872367859,0.190476194024086,,0.8357194662094116
31,multiple surgeries on the arm every time the arm got,cause you go me to am the sheer weight of to avoid the,0.0,0.17391304347826086,0.1538461595773697,0.17391304671764374,,0.8157881498336792
29,got this very beautiful thin scratch of a surgery incision,scherus salad wearing this lyrlayered charcoal,0.0,0.125,0.08556952327489853,0.125,,0.7868151664733887
8,still really sick i could barely hold my head up,wouldne breakdown nineteen eighty five i mean that,0.0,0.11111111111111112,0.0973500981926918,0.1111111119389534,,0.8218851685523987
15,eyes closed and her mouth open and blood was trickling,Water sound from my basement in her head,0.0,0.11111111111111112,0.0973500981926918,0.1111111119389534,,0.8265443444252014
42,please deliver me and my child intact and healthy out,apologize you're wrong wedding she's saying wedding and,0.0,0.11111111111111112,0.0973500981926918,0.10000000149011612,,0.8139058351516724
87,competitive and so i ask judy who is standing next,say answer and um you know allies  everybody's,0.0,0.11111111111111112,0.0973500981926918,0.10526315867900848,,0.7962151169776917
16,driving vijay we were at the temple vijay vijay vijay,Pioneers away from there they got to the square,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8207651376724243
21,get help please please get help and then a bunch,Stage the guy was about hundred people and even,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8127297759056091
23,parents got taken somewhere else my arm you know because,car parkss rushed um you take caradelphia and so,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8316853046417236
51,arrived in kurdistan state in northern iraq and i managed,ever happening hit up um thousand in injudda states,0.0,0.10526315789473685,0.09942658990621567,0.21052631735801697,,0.8199598789215088
52,sunset cars driving after sunset i remember watching the colors,going three days you'll be walking around the room,0.0,0.10526315789473685,0.09942658990621567,0.10000000149011612,,0.8505746126174927
61,passenger seat the driver was listening to really loud music,Urban parklor and it was wholely containing ten cars,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8443499803543091
68,voice said the pain of the jump is nothing compared,answering this real thinking he't know of my hands,0.0,0.10526315789473685,0.09942658990621567,0.10000000149011612,,0.8418623805046082
78,started consulting and i started taking classes to figure out,People stuffed out their on in two buttoned cars,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8242174983024597
18,this nonstop loop of my stepfather almost like that cliche,calling their phone going oning shit to hearing my scream,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8181731104850769
19,i started feeling things i started feeling hot and cold,shocked and oh my half hour thing it happened happened,0.0,0.10000000000000002,0.10000000149011612,0.20000000298023224,,0.8300904631614685
30,arm got better the scar got worse and you know,the stals which are saving the weight of the exerting,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8393054604530334
50,alive better than you be close and always in danger,you when you're bad or know good talking mean please,0.0,0.10000000000000002,0.10000000149011612,0.095238097012043,,0.8244729042053223
76,north to boston which caused my family to collectively take,had out out out my guidebook and about thirty years,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8204372525215149
83,entire life i had never held a stick of charcoal,a cucumberr a lunch and we decided to to out,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8303203582763672
101,dear friend sarah who's also a southerner i say sarah,saida and i am going to people who you know,0.0,0.10000000000000002,0.10000000149011612,0.190476194024086,,0.8374174237251282
11,remember the plate flying and yellow rice everywhere like confetti,turn to hold the balls much the quicker they will the,0.0,0.09523809523809525,0.09090909361839294,0.095238097012043,,0.8114431500434875
26,took us a long time to heal my stepfather broke,went back to home and ended her end at home full,0.0,0.09523809523809525,0.09090909361839294,0.095238097012043,,0.8202054500579834
56,a whole new language i don't remember i ever said,look out but to my interpreters not a little one and,0.0,0.09523809523809525,0.09090909361839294,0.09090909361839294,,0.8147531151771545
85,man the artists model starts to undress and i say,Head and legs coughing an animal that kicked my numb laugh,0.0,0.09523809523809525,0.09090909361839294,0.095238097012043,,0.8157482743263245
